CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	177319	319453	35.69	496772
2	231419	533929	30.24	765348
3	205418	633388	24.49	838806
4	136273	590853	18.74	727126
5	103202	748206	12.12	851408
6	74541	464211	13.84	538752
7	76293	422119	15.31	498412
8	87389	461916	15.91	549305
9	92189	471277	16.36	563466
10	96573	450008	17.67	546581
11	112517	477019	19.09	589536
12	135480	473399	22.25	608879
13	120478	479647	20.08	600125
14	107868	481138	18.31	589006
15	107899	477670	18.43	585569
16	108777	481387	18.43	590164
17	114998	495644	18.83	610642
18	109298	489107	18.26	598405
19	109683	480925	18.57	590608
20	113646	490170	18.82	603816
21	114289	501595	18.56	615884
22	113746	497270	18.62	611016
23	113158	497199	18.54	610357
24	114373	502923	18.53	617296
25	115076	499296	18.73	614372
26	115708	492229	19.03	607937
27	114941	497283	18.77	612224
28	114608	489548	18.97	604156
29	113813	491854	18.79	605667
30	112931	495044	18.57	607975
31	113301	497127	18.56	610428
32	113872	495249	18.69	609121
33	114311	495257	18.75	609568
34	114347	493284	18.82	607631
35	115105	494887	18.87	609992
36	114805	510467	18.36	625272
37	114045	488323	18.93	602368
38	115792	497336	18.89	613128
39	114457	496128	18.75	610585
40	113193	483305	18.98	596498
41	116292	488666	19.22	604958
42	114806	494603	18.84	609409
43	115295	487386	19.13	602681
44	116883	491136	19.22	608019
45	114539	485752	19.08	600291
46	113457	481165	19.08	594622
47	114440	481578	19.20	596018
48	114957	484890	19.16	599847
49	113465	479018	19.15	592483
50	114607	484386	19.13	598993
51	113162	479898	19.08	593060
52	111056	477143	18.88	588199
53	111594	470641	19.17	582235
54	111047	469962	19.11	581009
55	110754	468618	19.12	579372
56	110773	467079	19.17	577852
57	110823	469256	19.10	580079
58	108385	462191	19.00	570576
59	108344	460404	19.05	568748
60	107271	459978	18.91	567249
61	105591	449211	19.03	554802
62	105149	447172	19.04	552321
63	104941	448344	18.97	553285
64	104618	445890	19.00	550508
65	104682	442634	19.13	547316
66	104187	442731	19.05	546918
67	104542	435315	19.36	539857
68	101840	434806	18.98	536646
69	100976	434661	18.85	535637
70	100395	426803	19.04	527198
71	100304	417546	19.37	517850
72	97903	418370	18.96	516273
73	96991	408836	19.17	505827
74	96958	406254	19.27	503212
75	95128	402536	19.11	497664
76	94108	397718	19.13	491826
77	93348	396252	19.07	489600
78	92216	391185	19.08	483401
79	90822	384444	19.11	475266
80	90499	384600	19.05	475099
81	89712	380330	19.09	470042
82	88696	374369	19.15	463065
83	88394	371721	19.21	460115
84	86200	372424	18.80	458624
85	84259	361367	18.91	445626
86	83948	360879	18.87	444827
87	83023	351714	19.10	434737
88	82685	352000	19.02	434685
89	80608	346706	18.86	427314
90	79833	344881	18.80	424714
91	78541	336620	18.92	415161
92	77566	330837	18.99	408403
93	76782	329811	18.88	406593
94	74311	318476	18.92	392787
95	72788	315681	18.74	388469
96	72050	312645	18.73	384695
97	70089	305467	18.66	375556
98	68866	301266	18.61	370132
99	68258	296945	18.69	365203
100	67297	293977	18.63	361274
101	67151	291020	18.75	358171
102	65429	290328	18.39	355757
103	64745	278786	18.85	343531
104	63512	275508	18.73	339020
105	62663	272311	18.71	334974
106	61227	267845	18.61	329072
107	60023	263652	18.54	323675
108	59105	264465	18.27	323570
109	58796	256352	18.66	315148
110	57295	251852	18.53	309147
111	56392	249031	18.46	305423
112	55584	244120	18.55	299704
113	55318	241692	18.62	297010
114	54836	237643	18.75	292479
115	53374	233668	18.59	287042
116	52091	231342	18.38	283433
117	51099	227759	18.32	278858
118	49256	222883	18.10	272139
119	48657	222017	17.98	270674
120	48406	215201	18.36	263607
121	47251	211394	18.27	258645
122	46707	208806	18.28	255513
123	45475	204529	18.19	250004
124	45192	200488	18.39	245680
125	45930	199494	18.71	245424
126	43317	196251	18.08	239568
127	42339	189928	18.23	232267
128	41545	187821	18.11	229366
129	40743	182045	18.29	222788
130	39751	179979	18.09	219730
131	39236	177445	18.11	216681
132	38470	174022	18.10	212492
133	37691	168405	18.29	206096
134	37095	166643	18.21	203738
135	36358	163703	18.17	200061
136	36510	161595	18.43	198105
137	35588	159393	18.25	194981
138	34466	157182	17.98	191648
139	34617	154095	18.34	188712
140	33358	151500	18.05	184858
141	31883	147224	17.80	179107
142	30813	143531	17.67	174344
143	30221	142203	17.53	172424
144	29459	139511	17.43	168970
145	29347	136805	17.66	166152
146	28871	136382	17.47	165253
147	29627	136672	17.82	166299
148	28002	132394	17.46	160396
149	27166	128959	17.40	156125
150	26166	125667	17.23	151833

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	268258	1256332	17.60	1524590
2	121519	418967	22.48	540486
3	123968	651131	15.99	775099
4	82433	678204	10.84	760637
5	35275	1087224	3.14	1122499
6	21019	1325943	1.56	1346962
7	17789	773644	2.25	791433
8	19839	768526	2.52	788365
9	17033	789362	2.11	806395
10	22837	773462	2.87	796299
11	38817	786279	4.70	825096
12	15872	820439	1.90	836311
13	15280	846306	1.77	861586
14	12079	833193	1.43	845272
15	13613	807318	1.66	820931
16	16157	818103	1.94	834260
17	12290	839992	1.44	852282
18	12914	872145	1.46	885059
19	11226	816211	1.36	827437
20	11313	836901	1.33	848214
21	10517	834406	1.24	844923
22	9929	850067	1.15	859996
23	9679	849960	1.13	859639
24	9750	842829	1.14	852579
25	9562	846694	1.12	856256
26	9168	837917	1.08	847085
27	9414	839165	1.11	848579
28	9193	846625	1.07	855818
29	9116	845695	1.07	854811
30	8894	849944	1.04	858838
31	8900	848045	1.04	856945
32	8877	839751	1.05	848628
33	9090	853485	1.05	862575
34	9008	851811	1.05	860819
35	9165	853071	1.06	862236
36	8996	833913	1.07	842909
37	8872	855199	1.03	864071
38	8787	841501	1.03	850288
39	9216	858420	1.06	867636
40	8977	835090	1.06	844067
41	9023	855887	1.04	864910
42	9050	846534	1.06	855584
43	9154	849514	1.07	858668
44	9219	834414	1.09	843633
45	9389	837567	1.11	846956
46	9071	831499	1.08	840570
47	9370	817091	1.13	826461
48	9564	821482	1.15	831046
49	9758	833715	1.16	843473
50	9788	823304	1.17	833092
51	10143	824186	1.22	834329
52	10050	819552	1.21	829602
53	10181	816053	1.23	826234
54	10144	800839	1.25	810983
55	10585	812587	1.29	823172
56	10473	801602	1.29	812075
57	10726	800410	1.32	811136
58	10850	792164	1.35	803014
59	10844	786172	1.36	797016
60	11100	791429	1.38	802529
61	11190	790926	1.40	802116
62	11181	782596	1.41	793777
63	11389	767199	1.46	778588
64	11222	763264	1.45	774486
65	11452	758224	1.49	769676
66	11582	755538	1.51	767120
67	11953	756665	1.56	768618
68	11622	740618	1.54	752240
69	11850	739538	1.58	751388
70	12009	741566	1.59	753575
71	12068	725611	1.64	737679
72	12089	721303	1.65	733392
73	12196	713215	1.68	725411
74	12314	704309	1.72	716623
75	12362	699778	1.74	712140
76	12232	691458	1.74	703690
77	12258	681472	1.77	693730
78	12334	671515	1.80	683849
79	12374	669234	1.82	681608
80	12392	656532	1.85	668924
81	12691	666352	1.87	679043
82	12500	643273	1.91	655773
83	12475	637708	1.92	650183
84	12506	624585	1.96	637091
85	12396	625522	1.94	637918
86	12307	610924	1.97	623231
87	12614	605962	2.04	618576
88	12310	597619	2.02	609929
89	12184	586606	2.03	598790
90	12048	588282	2.01	600330
91	12506	580295	2.11	592801
92	12154	565466	2.10	577620
93	12257	566935	2.12	579192
94	12288	566122	2.12	578410
95	11856	537519	2.16	549375
96	11887	530005	2.19	541892
97	12067	529348	2.23	541415
98	11728	512901	2.24	524629
99	11655	508279	2.24	519934
100	11753	503476	2.28	515229
101	11455	498753	2.25	510208
102	11602	509595	2.23	521197
103	11416	480389	2.32	491805
104	11300	471369	2.34	482669
105	10996	460572	2.33	471568
106	10739	452664	2.32	463403
107	10654	443989	2.34	454643
108	10823	438464	2.41	449287
109	10619	429985	2.41	440604
110	10416	423537	2.40	433953
111	10568	420972	2.45	431540
112	10388	414275	2.45	424663
113	10181	405289	2.45	415470
114	9944	400355	2.42	410299
115	10100	389120	2.53	399220
116	9701	381345	2.48	391046
117	9664	378310	2.49	387974
118	9511	370390	2.50	379901
119	9531	364945	2.55	374476
120	9421	359122	2.56	368543
121	9217	353175	2.54	362392
122	9163	345163	2.59	354326
123	9200	345277	2.60	354477
124	9083	332731	2.66	341814
125	8813	330598	2.60	339411
126	8682	322683	2.62	331365
127	8663	320826	2.63	329489
128	8595	310919	2.69	319514
129	8321	308079	2.63	316400
130	8472	298834	2.76	307306
131	8242	293092	2.74	301334
132	8176	292078	2.72	300254
133	8089	288728	2.73	296817
134	8049	280842	2.79	288891
135	7943	276278	2.79	284221
136	7762	269612	2.80	277374
137	7477	268443	2.71	275920
138	7364	260300	2.75	267664
139	7273	255948	2.76	263221
140	7065	250127	2.75	257192
141	6659	246036	2.64	252695
142	6596	241810	2.66	248406
143	6373	234436	2.65	240809
144	6120	233972	2.55	240092
145	6039	227969	2.58	234008
146	5968	227336	2.56	233304
147	5767	221381	2.54	227148
148	6169	216908	2.77	223077
149	6378	213724	2.90	220102
150	6186	210088	2.86	216274

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	472925	1015080	31.78	1488005
2	466916	1315860	26.19	1782776
3	389667	1209506	24.37	1599173
4	310013	1392236	18.21	1702249
5	156617	1828877	7.89	1985494
6	129261	2179174	5.60	2308435
7	113086	2672770	4.06	2785856
8	122138	2637717	4.43	2759855
9	89126	2502988	3.44	2592114
10	80946	2428001	3.23	2508947
11	92206	2381118	3.73	2473324
12	81170	2392637	3.28	2473807
13	77718	2460373	3.06	2538091
14	71170	2450437	2.82	2521607
15	81131	2426917	3.23	2508048
16	83769	2369516	3.41	2453285
17	74671	2366218	3.06	2440889
18	70526	2386278	2.87	2456804
19	78360	2407503	3.15	2485863
20	70835	2421863	2.84	2492698
21	72473	2369764	2.97	2442237
22	64206	2384420	2.62	2448626
23	70002	2408490	2.82	2478492
24	61523	2392303	2.51	2453826
25	66738	2428528	2.67	2495266
26	60332	2434345	2.42	2494677
27	63936	2447185	2.55	2511121
28	58818	2484155	2.31	2542973
29	63042	2497565	2.46	2560607
30	56961	2479412	2.25	2536373
31	62079	2489454	2.43	2551533
32	57085	2454522	2.27	2511607
33	58444	2464672	2.32	2523116
34	54858	2483783	2.16	2538641
35	57213	2467906	2.27	2525119
36	52200	2463807	2.07	2516007
37	56722	2474928	2.24	2531650
38	52526	2462841	2.09	2515367
39	55216	2451150	2.20	2506366
40	50207	2445931	2.01	2496138
41	53997	2509652	2.11	2563649
42	48864	2450995	1.95	2499859
43	54445	2460429	2.16	2514874
44	49625	2468225	1.97	2517850
45	53555	2472167	2.12	2525722
46	49192	2467526	1.95	2516718
47	53119	2471697	2.10	2524816
48	48772	2439612	1.96	2488384
49	52179	2455276	2.08	2507455
50	49628	2454537	1.98	2504165
51	52899	2445965	2.12	2498864
52	49517	2425873	2.00	2475390
53	51772	2416342	2.10	2468114
54	48192	2395828	1.97	2444020
55	50643	2378670	2.08	2429313
56	49517	2383945	2.03	2433462
57	51547	2362367	2.14	2413914
58	50079	2385310	2.06	2435389
59	52731	2380895	2.17	2433626
60	47550	2327005	2.00	2374555
61	50235	2312316	2.13	2362551
62	48892	2327931	2.06	2376823
63	50720	2258640	2.20	2309360
64	48649	2249555	2.12	2298204
65	51135	2235436	2.24	2286571
66	47019	2230671	2.06	2277690
67	50536	2234345	2.21	2284881
68	47460	2189072	2.12	2236532
69	49915	2201528	2.22	2251443
70	48616	2170338	2.19	2218954
71	50765	2142019	2.32	2192784
72	48077	2121550	2.22	2169627
73	49265	2116579	2.27	2165844
74	48142	2123082	2.22	2171224
75	48315	2069514	2.28	2117829
76	47584	2047091	2.27	2094675
77	48732	2041321	2.33	2090053
78	47780	2044818	2.28	2092598
79	48657	2014128	2.36	2062785
80	46746	1970640	2.32	2017386
81	47164	1959167	2.35	2006331
82	46095	1944644	2.32	1990739
83	48045	1895242	2.47	1943287
84	45034	1862386	2.36	1907420
85	46359	1839673	2.46	1886032
86	44930	1827752	2.40	1872682
87	45866	1798398	2.49	1844264
88	44418	1791110	2.42	1835528
89	46017	1769451	2.53	1815468
90	43749	1723073	2.48	1766822
91	45500	1709676	2.59	1755176
92	44541	1689376	2.57	1733917
93	44210	1662530	2.59	1706740
94	43366	1647891	2.56	1691257
95	44034	1631940	2.63	1675974
96	42809	1631083	2.56	1673892
97	43778	1601584	2.66	1645362
98	42766	1552424	2.68	1595190
99	41690	1523122	2.66	1564812
100	41782	1499229	2.71	1541011
101	41689	1486603	2.73	1528292
102	40207	1473061	2.66	1513268
103	41271	1464336	2.74	1505607
104	39849	1434276	2.70	1474125
105	40601	1422117	2.78	1462718
106	38905	1381242	2.74	1420147
107	38849	1354036	2.79	1392885
108	37691	1344616	2.73	1382307
109	38373	1306000	2.85	1344373
110	37204	1293782	2.80	1330986
111	37641	1291508	2.83	1329149
112	36863	1256283	2.85	1293146
113	36760	1232909	2.90	1269669
114	35729	1219188	2.85	1254917
115	36135	1196923	2.93	1233058
116	35164	1177652	2.90	1212816
117	35010	1154669	2.94	1189679
118	34515	1131864	2.96	1166379
119	34547	1115204	3.00	1149751
120	33494	1095595	2.97	1129089
121	33342	1077081	3.00	1110423
122	33213	1059412	3.04	1092625
123	32455	1036756	3.04	1069211
124	31610	1019253	3.01	1050863
125	31787	1003334	3.07	1035121
126	30375	982127	3.00	1012502
127	30450	969461	3.05	999911
128	29499	948013	3.02	977512
129	29182	931993	3.04	961175
130	28625	916141	3.03	944766
131	29479	902907	3.16	932386
132	27782	882873	3.05	910655
133	28345	867267	3.16	895612
134	27051	850909	3.08	877960
135	26821	832350	3.12	859171
136	26375	819257	3.12	845632
137	26342	807665	3.16	834007
138	25296	794265	3.09	819561
139	25276	779494	3.14	804770
140	24437	759245	3.12	783682
141	24087	745664	3.13	769751
142	23951	732614	3.17	756565
143	22908	719057	3.09	741965
144	22404	702853	3.09	725257
145	22307	694886	3.11	717193
146	21359	684021	3.03	705380
147	20642	677616	2.96	698258
148	21435	666373	3.12	687808
149	22345	656554	3.29	678899
150	21145	643046	3.18	664191

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	43570	86245	33.56	129815
2	54199	132037	29.10	186236
3	45748	151324	23.21	197072
4	30569	141440	17.77	172009
5	21835	166138	11.62	187973
6	15609	103060	13.15	118669
7	15108	94039	13.84	109147
8	18279	100689	15.36	118968
9	17926	99582	15.26	117508
10	18962	94645	16.69	113607
11	23859	95892	19.92	119751
12	33721	94106	26.38	127827
13	27949	93927	22.93	121876
14	18067	92268	16.37	110335
15	17984	90619	16.56	108603
16	18442	89805	17.04	108247
17	19290	94817	16.91	114107
18	17554	87665	16.68	105219
19	17484	86352	16.84	103836
20	17640	86267	16.98	103907
21	17221	86794	16.56	104015
22	16603	83758	16.54	100361
23	15840	81437	16.28	97277
24	15667	81735	16.08	97402
25	16224	79585	16.93	95809
26	15591	76949	16.85	92540
27	15135	75613	16.68	90748
28	14558	73115	16.60	87673
29	14568	71895	16.85	86463
30	13766	70871	16.26	84637
31	13692	70228	16.32	83920
32	13382	68519	16.34	81901
33	13271	67511	16.43	80782
34	13005	65933	16.47	78938
35	12844	64781	16.55	77625
36	12231	65527	15.73	77758
37	12174	61661	16.49	73835
38	11921	60994	16.35	72915
39	11775	59541	16.51	71316
40	11513	57190	16.76	68703
41	11420	57556	16.56	68976
42	11022	56048	16.43	67070
43	10872	54918	16.53	65790
44	10985	53990	16.91	64975
45	10497	52250	16.73	62747
46	10121	51093	16.53	61214
47	9951	50083	16.58	60034
48	9990	49341	16.84	59331
49	9764	48070	16.88	57834
50	9526	47194	16.79	56720
51	9357	46242	16.83	55599
52	8719	45112	16.20	53831
53	8566	44524	16.13	53090
54	8650	42874	16.79	51524
55	8478	42566	16.61	51044
56	8157	41669	16.37	49826
57	8301	41323	16.73	49624
58	7841	40033	16.38	47874
59	7750	38989	16.58	46739
60	7436	38611	16.15	46047
61	7285	37035	16.44	44320
62	7131	36520	16.34	43651
63	6882	35145	16.38	42027
64	6809	34833	16.35	41642
65	6767	33770	16.69	40537
66	6714	33711	16.61	40425
67	6910	32995	17.32	39905
68	6233	31952	16.32	38185
69	6072	32019	15.94	38091
70	6023	30833	16.34	36856
71	5925	30009	16.49	35934
72	5847	29755	16.42	35602
73	5688	28486	16.64	34174
74	5571	27809	16.69	33380
75	5574	27471	16.87	33045
76	5387	26931	16.67	32318
77	5209	26000	16.69	31209
78	5085	25597	16.57	30682
79	5003	24820	16.78	29823
80	4886	24720	16.50	29606
81	4807	24493	16.41	29300
82	4734	23806	16.59	28540
83	4660	23162	16.75	27822
84	4586	22539	16.91	27125
85	4464	22446	16.59	26910
86	4230	21789	16.26	26019
87	4148	21353	16.27	25501
88	4237	21362	16.55	25599
89	4010	20564	16.32	24574
90	3939	20073	16.40	24012
91	3940	19320	16.94	23260
92	3771	18715	16.77	22486
93	3831	19020	16.77	22851
94	3640	17691	17.06	21331
95	3528	17453	16.82	20981
96	3527	17593	16.70	21120
97	3212	16593	16.22	19805
98	3297	16372	16.76	19669
99	3145	16145	16.30	19290
100	3050	15740	16.23	18790
101	3120	15909	16.40	19029
102	3066	15374	16.63	18440
103	2841	14702	16.19	17543
104	2845	14234	16.66	17079
105	2911	14040	17.17	16951
106	2787	13749	16.85	16536
107	2624	13455	16.32	16079
108	2591	13525	16.08	16116
109	2567	13098	16.39	15665
110	2434	12611	16.18	15045
111	2427	12551	16.20	14978
112	2334	11903	16.39	14237
113	2357	11955	16.47	14312
114	2245	11692	16.11	13937
115	2394	11295	17.49	13689
116	2179	11044	16.48	13223
117	2181	11041	16.50	13222
118	2150	10705	16.73	12855
119	1891	10487	15.28	12378
