CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
122	2426	86570	2.73	88996
123	2021	84465	2.34	86486
124	2228	83096	2.61	85324
125	2159	81362	2.58	83521
126	1866	79878	2.28	81744
127	2088	78068	2.60	80156
128	1838	75901	2.36	77739
129	1823	75039	2.37	76862
130	1763	73735	2.34	75498
131	2066	73065	2.75	75131
132	1490	70951	2.06	72441
133	1877	68641	2.66	70518
134	1661	67268	2.41	68929
135	1671	65721	2.48	67392
136	1656	65066	2.48	66722
137	1615	64007	2.46	65622
138	1567	63607	2.40	65174
139	1534	61854	2.42	63388
140	1481	59466	2.43	60947
141	1463	58089	2.46	59552
142	1670	57200	2.84	58870
143	1235	55537	2.18	56772
144	1444	54903	2.56	56347
145	1316	53874	2.38	55190
146	1336	53036	2.46	54372
147	1298	52272	2.42	53570
148	1262	51510	2.39	52772
149	1402	50134	2.72	51536
150	1236	48805	2.47	50041

