CF05-CM05-Zygote,L0-0.4,mapping efficiency  19.4%
CF05-CM05-Zygote,L0-0.6,mapping efficiency  25.3%
CF05-CM05-Zygote,L0-0.8,
CF06-CM01-Zygote,L-1-0.6,mapping efficiency  24.0%
CF06-CM01-Zygote,L0-0.4,mapping efficiency  16.8%
CF06-CM01-Zygote,L0-0.6,mapping efficiency  23.5%
CF06-CM01-Zygote,L0-0.8,mapping efficiency  29.9%
CF06-CM01-Zygote,L0-1.0,mapping efficiency  36.4%
CF06-CM02-Larvae,L0-0.4,mapping efficiency  16.0%
CF06-CM02-Larvae,L0-0.6,mapping efficiency  22.7%
CF06-CM02-Larvae,L0-0.8,
CF07-CM02-Zygote,L0-0.4,mapping efficiency  9.1%
CF08-CM03-Zygote,L0-0.4,
CF08-CM04-Larvae,L0-0.4,mapping efficiency  0.6%
CF08-CM05-Larvae,L0-0.4,mapping efficiency  1.6%
EF01-EM01-Zygote,L0-0.4,
EF02-EM02-Zygote,L0-0.4,
EF03-EM03-Zygote,L0-0.4,
EF03-EM04-Larvae,L0-0.4,
CF01-CM01-Zygote,L-1-0.6,mapping efficiency  13.1%
CF01-CM01-Zygote,L0-0.4,mapping efficiency  9.5%
CF01-CM01-Zygote,L0-0.6,mapping efficiency  12.8%
CF01-CM01-Zygote,L0-0.8,mapping efficiency  16.0%
CF01-CM01-Zygote,L0-1.0,mapping efficiency  19.9%
CF01-CM02-Larvae,L-1-0.6,mapping efficiency  36.1%
CF01-CM02-Larvae,L0-0.4,mapping efficiency  28.7%
CF01-CM02-Larvae,L0-0.6,mapping efficiency  35.9%
CF01-CM02-Larvae,L0-0.8,mapping efficiency  41.7%
CF01-CM02-Larvae,L0-1.0,mapping efficiency  47.3%
CF02-CM02-Zygote,L-1-0.6,mapping efficiency  14.0%
CF02-CM02-Zygote,L0-0.4,mapping efficiency  9.9%
CF02-CM02-Zygote,L0-0.6,mapping efficiency  13.9%
CF02-CM02-Zygote,L0-0.8,mapping efficiency  17.6%
CF02-CM02-Zygote,L0-1.0,mapping efficiency  22.1%
CF03-CM03-Zygote,L-1-0.6,mapping efficiency  25.9%
CF03-CM03-Zygote,L0-0.4,mapping efficiency  19.9%
CF03-CM03-Zygote,L0-0.6,mapping efficiency  25.6%
CF03-CM03-Zygote,L0-0.8,mapping efficiency  30.6%
CF03-CM03-Zygote,L0-1.0,mapping efficiency  35.9%
CF03-CM04-Larvae,L-1-0.6,mapping efficiency  46.5%
CF03-CM04-Larvae,L0-0.4,mapping efficiency  38.5%
CF03-CM04-Larvae,L0-0.6,mapping efficiency  46.1%
CF03-CM04-Larvae,L0-0.8,mapping efficiency  51.9%
CF03-CM04-Larvae,L0-1.0,mapping efficiency  57.1%
CF03-CM05-Larvae,L-1-0.6,mapping efficiency  34.4%
CF03-CM05-Larvae,L0-0.4,mapping efficiency  25.4%
CF03-CM05-Larvae,L0-0.6,mapping efficiency  34.0%
CF03-CM05-Larvae,L0-0.8,mapping efficiency  40.6%
CF03-CM05-Larvae,L0-1.0,mapping efficiency  46.6%
CF04-CM04-Zygote,L-1-0.6,mapping efficiency  25.6%
CF04-CM04-Zygote,L0-0.4,mapping efficiency  19.4%
CF04-CM04-Zygote,L0-0.6,mapping efficiency  25.1%
CF04-CM04-Zygote,L0-0.8,mapping efficiency  30.6%
CF04-CM04-Zygote,L0-1.0,mapping efficiency  35.9%
CF05-CM02-Larvae,L-1-0.6,mapping efficiency  35.4%
CF05-CM02-Larvae,L0-0.4,mapping efficiency  28.4%
CF05-CM02-Larvae,L0-0.6,mapping efficiency  35.2%
CF05-CM02-Larvae,L0-0.8,mapping efficiency  40.5%
CF05-CM02-Larvae,L0-1.0,mapping efficiency  46.6%
CF05-CM05-Zygote,L-1-0.6,mapping efficiency  25.7%
CF05-CM05-Zygote,L0-0.4,mapping efficiency  19.4%
CF05-CM05-Zygote,L0-0.6,mapping efficiency  25.3%
CF05-CM05-Zygote,L0-0.8,mapping efficiency  30.8%
